year,run_id,triad_name,type,is_final,date_chosen,date_emailed,date_finalized,reason_chosen,township_code_coverage,reference_run_id,email_title,note
2022,2022-04-27-keen-gabe,North,res,TRUE,4/28/2022,4/28/2022,4/28/2022,,"[10,16,17,18,20,22,23,24,25,26,29,35,38]",,2022 Final Residential and Condo Model Values (Spreadsheets + iasWorld Uploads),
2022,2022-04-26-beautiful-dan,North,condo,TRUE,4/28/2022,4/28/2022,4/28/2022,,"[10,16,17,18,20,22,23,24,25,26,29,35,38]",,2022 Final Residential and Condo Model Values (Spreadsheets + iasWorld Uploads),
2023,2023-03-14-clever-damani,South,res,TRUE,3/10/2023,3/14/2023,3/22/2023,Best performance + fixed proration,"[11,12,13,14,15,19,21,27,28,30,31,32,33,34,36,37,39]",2023-03-06-relaxed-dan,2023 Initial Model Values (Residential),Rebuilt final 2023 run (relaxed-dan) using update proration method
2023,2023-03-15-clever-kyra,South,condo,TRUE,3/2/2023,3/15/2023,3/16/2023,Best performance,"[11,12,13,14,15,19,21,27,28,30,31,32,33,34,36,37,39]",2023-03-10-elated-nicole,2023 Initial Model Values (Condos),"Final 2023 run using params from elated-nicole. No CV, no SHAPs"
2024,2024-02-06-relaxed-tristan,City,res,FALSE,2/5/2024,2/6/2024,2/6/2024,Best performance,"[75,77]",,2024 Initial Model Values (Residential),"Final 2024 residential run with corrected assessment stage and data. FullSHAPs and comp outputs. Based on 2024-02-06-sad-rina. Used outputs for only Rogers Park and West"
2024,2024-03-17-stupefied-maya,City,res,TRUE,3/17/2024,3/27/2024,3/27/2024,Added sales missing from 2024-02-06-relaxed-tristan,"[70,71,72,73,74,76]",2024-02-06-relaxed-tristan,2024 Initial Model Values (Residential),Re-run version of 2024-02-06-relaxed-tristan with missing sales added. See data-architecture PR #334
2024,2024-02-16-silly-billy,City,condo,FALSE,2/16/2024,2/16/2024,2/14/2024,Best performance + many corrections from prior years,[75],,2024 Initial Model Values (Condos),"Final 2024 condo run with altered run name, based on 2024-02-16-affectionate-boni. Used for only Rogers Park"
2024,2024-03-11-pensive-manasi,City,condo,TRUE,3/12/2024,3/12/2024,3/12/2024,Added sales missing from 2024-02-16-silly-billy,"[70,71,72,73,74,76,77]",2024-02-16-silly-billy,2024 Initial Model Values (Condos),Re-run version of 2024-02-16-silly-billy with missing sales added. See data-architecture PR #334.
2025,2025-02-11-charming-eric,North,res,TRUE,2/14/2025,2/14/2025,2/14/2025,Best performance,"[10,16,17,18,20,22,23,24,25,26,29,35,38]",,2025 Initial Model Values (Residential),"Full COMPS run for standard hyperparams, highway traffic and school rating features dropped"
2025,2025-02-10-cattywampus-christian,North,condo,TRUE,2/14/2025,2/14/2025,2/14/2025,Best performance,"[10,16,17,18,20,22,23,24,25,26,29,35,38]",,2025 Initial Model Values (Condos),"Final condo model candidate with CV params from 2025-02-08-youthful-carly, removed highway traffic"
2026,2026-02-11-recursing-rob,South,res,TRUE,2/13/2026,2/13/2026,2/13/2026,Best performance,"[11,12,13,14,15,19,21,27,28,30,31,32,33,34,36,37,39]",,2026 Initial Model Values (Residential),"Try for final model with CV hyperparams, fixed Pace stop data, and new proration flag"
2026,2026-02-12-gallant-bowen,South,condo,TRUE,2/13/2026,2/13/2026,2/13/2026,Best performance,"[11,12,13,14,15,19,21,27,28,30,31,32,33,34,36,37,39]",,2026 Model Values (Condo),CV and shap run with fixed pace data
